Agency,Business Title,Civil Service Title,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location
DEPT OF DESIGN & CONSTRUCTION,Director ADA Compliance,ADMINISTRATIVE ARCHITECT,"Engineering, Architecture, & Planning",F,60435,161497,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Director ADA Compliance,ADMINISTRATIVE ARCHITECT,"Engineering, Architecture, & Planning",F,60435,161497,Annual,30-30 Thomson Ave L I City Qns
DEPT OF ENVIRONMENT PROTECTION,Project Manager,CITY PLANNER,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,53600,77410,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,Project Manager,CITY PLANNER,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,53600,77410,Annual,59-17 Junction Blvd Corona Ny
DEPT OF HEALTH/MENTAL HYGIENE,Exterminator,EXTERMINATOR,Health,F,38207,43938,Annual,"12-26 31St Avenue Queens, N.Y."
DEPT OF HEALTH/MENTAL HYGIENE,Exterminator,EXTERMINATOR,Health,F,38207,43938,Annual,"12-26 31St Avenue Queens, N.Y."
DEPT OF HEALTH/MENTAL HYGIENE,"X-Ray Technician, Bureau of Tuberculosis Control",X-RAY TECHNICIAN,Health,P,25.7269,29.7789,Hourly,R E DEV FOR Preservation
DEPT OF HEALTH/MENTAL HYGIENE,"X-Ray Technician, Bureau of Tuberculosis Control",X-RAY TECHNICIAN,Health,P,25.7269,29.7789,Hourly,R E DEV FOR Preservation
DEPT OF DESIGN & CONSTRUCTION,IFA and Expense Program Analyst,STAFF ANALYST,"Finance, Accounting, & Procurement",F,50078,68181,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,IFA and Expense Program Analyst,STAFF ANALYST,"Finance, Accounting, & Procurement",F,50078,68181,Annual,30-30 Thomson Ave L I City Qns
DEPARTMENT OF SANITATION,Quality Assurance Analyst (Automation),COMPUTER SYSTEMS MANAGER,"Technology, Data & Innovation",F,54643,150371,Annual,"137 Centre St., N.Y."
DEPARTMENT OF SANITATION,Quality Assurance Analyst (Automation),COMPUTER SYSTEMS MANAGER,"Technology, Data & Innovation",F,54643,150371,Annual,"137 Centre St., N.Y."
LAW DEPARTMENT,Social Media Paralegal Library,PARALEGAL AIDE,Legal Affairs,F,41939,58688,Annual,"100 Church St., N.Y."
HOUSING PRESERVATION & DVLPMNT,Attorney,EXECUTIVE AGENCY COUNSEL,Legal Affairs,F,113600,123600,Annual,100 Gold Street
HOUSING PRESERVATION & DVLPMNT,Attorney,EXECUTIVE AGENCY COUNSEL,Legal Affairs,F,113600,123600,Annual,100 Gold Street
DEPT OF INFO TECH & TELECOMM,Capital Budget Analyst,STAFF ANALYST,"Finance, Accounting, & Procurement",F,50078,63349,Annual,15 Metrotech
DEPARTMENT OF BUSINESS SERV.,"EXECUTIVE DIRECTOR, WORKSOURCE1 & QUALITY ASSURANCE",ADMINISTRATIVE BUSINESS PROMOT,Communications & Intergovernmental Affairs,F,67060,90000,Annual,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,"EXECUTIVE DIRECTOR, WORKSOURCE1 & QUALITY ASSURANCE",ADMINISTRATIVE BUSINESS PROMOT,Communications & Intergovernmental Affairs,F,67060,90000,Annual,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,"DIRECTOR, QUALITY ASSURANCE",ADMINISTRATIVE BUSINESS PROMOT,Communications & Intergovernmental Affairs,F,60435,77000,Annual,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,"DIRECTOR, QUALITY ASSURANCE",ADMINISTRATIVE BUSINESS PROMOT,Communications & Intergovernmental Affairs,F,60435,77000,Annual,110 William St. N Y
ADMIN FOR CHILDREN'S SVCS,Pre-Placement Staff Nurse,STAFF NURSE,Health,F,76399,76399,Annual,"150 William Street, New York N"
ADMIN FOR CHILDREN'S SVCS,Pre-Placement Staff Nurse,STAFF NURSE,Health,F,76399,76399,Annual,"150 William Street, New York N"
NYC HOUSING AUTHORITY,EVP for Real Estate,ADMINISTRATIVE REAL PROPERTY M,"Policy, Research & Analysis",F,99353,224749,Annual,Real Estate Development-SVP
NYC HOUSING AUTHORITY,EVP for Real Estate,ADMINISTRATIVE REAL PROPERTY M,"Policy, Research & Analysis",F,99353,224749,Annual,Real Estate Development-SVP
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Environmental Disease and Injury Prevention/Healthy Homes Program",PUBLIC HEALTH SANITARIAN,"Health Public Safety, Inspections, & Enforcement",F,44390,51049,Annual,"125 Worth Street, Nyc"
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Environmental Disease and Injury Prevention/Healthy Homes Program",PUBLIC HEALTH SANITARIAN,"Health Public Safety, Inspections, & Enforcement",F,44390,51049,Annual,"125 Worth Street, Nyc"
OFFICE OF THE COMPTROLLER,Speechwriter,ADMINISTRATIVE PUBLIC INFORMAT,Communications & Intergovernmental Affairs,F,75000,100000,Annual,"1 Centre St., N.Y."
OFFICE OF THE COMPTROLLER,Speechwriter,ADMINISTRATIVE PUBLIC INFORMAT,Communications & Intergovernmental Affairs,F,75000,100000,Annual,"1 Centre St., N.Y."
DEPT OF ENVIRONMENT PROTECTION,Engineering Technician I,ENGINEERING TECHNICIAN,"Public Safety, Inspections, & Enforcement",F,36239,47016,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Engineering Technician I,ENGINEERING TECHNICIAN,"Public Safety, Inspections, & Enforcement",F,36239,47016,Annual,96-05 Horace Harding Expway
DEPT OF DESIGN & CONSTRUCTION,Senior Project Controls Specialist,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,52137,144413,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Senior Project Controls Specialist,ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,52137,144413,Annual,30-30 Thomson Ave L I City Qns
DEPT OF ENVIRONMENT PROTECTION,Gardener,GARDENER,Building Operations & Maintenance,F,42146,60659,Annual,"329 Greenpoint Ave., Brooklyn"
DEPT OF ENVIRONMENT PROTECTION,Gardener,GARDENER,Building Operations & Maintenance,F,42146,60659,Annual,"329 Greenpoint Ave., Brooklyn"
DEPT OF INFO TECH & TELECOMM,Mobile Device Management (MDM) Architect,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",,89509,115000,Annual,15 Metrotech
DEPT OF INFO TECH & TELECOMM,Infrastructure Build Coordinator,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",,82884,102000,Annual,2 Metro Tech
DEPT OF INFO TECH & TELECOMM,Senior Systems Engineer (zVM & zLinux),COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,89509,110000,Annual,2 Metro Tech
OFFICE OF EMERGENCY MANAGEMENT,NOTIFY NYC/PUBLIC WARNING SPECIALIST,EMERGENCY PREPAREDNESS SPECIAL,"Communications & Intergovernmental Affairs Public Safety, Inspections, & Enforcement",F,58000,58000,Annual,165 Cadman Plaza East
OFFICE OF EMERGENCY MANAGEMENT,NOTIFY NYC/PUBLIC WARNING SPECIALIST,EMERGENCY PREPAREDNESS SPECIAL,"Communications & Intergovernmental Affairs Public Safety, Inspections, & Enforcement",F,58000,58000,Annual,165 Cadman Plaza East
TAXI & LIMOUSINE COMMISSION,Policy Analyst,COMMUNITY ASSOCIATE,"Policy, Research & Analysis",F,47000,51902,Annual,"33 Beaver St, New York Ny"
TAXI & LIMOUSINE COMMISSION,Policy Analyst,COMMUNITY ASSOCIATE,"Policy, Research & Analysis",F,47000,51902,Annual,"33 Beaver St, New York Ny"
DEPT OF INFO TECH & TELECOMM,IT Business Analyst,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",,82884,100000,Annual,2 Metro Tech
DEPT OF DESIGN & CONSTRUCTION,College Aide,COLLEGE AIDE (ALL CITY DEPTS),Administration & Human Resources Legal Affairs,P,13.5,17.9,Hourly,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,College Aide,COLLEGE AIDE (ALL CITY DEPTS),Administration & Human Resources Legal Affairs,P,13.5,17.9,Hourly,30-30 Thomson Ave L I City Qns
DEPARTMENT OF TRANSPORTATION,Hiring Plan Analyst,ASSOCIATE STAFF ANALYST,Administration & Human Resources,F,65731,97873,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Personnel Transactions Associate,PRINCIPAL ADMINISTRATIVE ASSOC,Administration & Human Resources,F,44142,64662,Annual,55 Water St Ny Ny
DEPT OF INFO TECH & TELECOMM,Application Support Lead (ITSM),COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,89509,110315,Annual,2 Metro Tech
DEPARTMENT OF BUSINESS SERV.,WORKFORCE QUALITY ASSURANCE MANAGER,COMMUNITY COORDINATOR,Constituent Services & Community Programs,F,28.7488,36.94,Hourly,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,WORKFORCE QUALITY ASSURANCE MANAGER,COMMUNITY COORDINATOR,Constituent Services & Community Programs,F,28.7488,36.94,Hourly,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,WORKSOURCE1 MANAGEMENT & REPORTING MANAGER,COMMUNITY COORDINATOR,Constituent Services & Community Programs,F,28.7488,34.06,Hourly,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,WORKSOURCE1 MANAGEMENT & REPORTING MANAGER,COMMUNITY COORDINATOR,Constituent Services & Community Programs,F,28.7488,34.06,Hourly,110 William St. N Y
TAXI & LIMOUSINE COMMISSION,Software Architect,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,95000,110000,Annual,"33 Beaver St, New York Ny"
TAXI & LIMOUSINE COMMISSION,Software Architect,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,95000,110000,Annual,"33 Beaver St, New York Ny"
TAXI & LIMOUSINE COMMISSION,Quality Analyst - Digital Solutions,COMPUTER ASSOC (SOFTWARE),"Technology, Data & Innovation",F,75000,85000,Annual,"33 Beaver St, New York Ny"
TAXI & LIMOUSINE COMMISSION,Quality Analyst - Digital Solutions,COMPUTER ASSOC (SOFTWARE),"Technology, Data & Innovation",F,75000,85000,Annual,"33 Beaver St, New York Ny"
DEPT OF INFO TECH & TELECOMM,Security Administrator,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",,79564,95000,Annual,2 Metro Tech
DEPT OF INFO TECH & TELECOMM,Information Security Project Specialist,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,82884,100000,Annual,2 Metro Tech
DEPT OF ENVIRONMENT PROTECTION,Communications Lead,PRINCIPAL ADMINISTRATIVE ASSOC,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,49390,71794,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Communications Lead,PRINCIPAL ADMINISTRATIVE ASSOC,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,49390,71794,Annual,96-05 Horace Harding Expway
LAW DEPARTMENT,Computer Associate,COMPUTER ASSOC (SOFTWARE),"Technology, Data & Innovation",F,64657,89634,Annual,"100 Church St., N.Y."
DEPT OF HEALTH/MENTAL HYGIENE,"EtE Evaluation Specialist, Bureau of HIV/AIDS Prevention and Control/HIV/AIDS Care & Treatment",CITY RESEARCH SCIENTIST,"Health Policy, Research & Analysis",,62272,68499,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"EtE Evaluation Specialist, Bureau of HIV/AIDS Prevention and Control/HIV/AIDS Care & Treatment",CITY RESEARCH SCIENTIST,"Health Policy, Research & Analysis",,62272,68499,Annual,42-09 28th Street
LAW DEPARTMENT,Clerical Associate (FT) - Various Units with the Operations Division,CLERICAL ASSOCIATE,Legal Affairs,F,35330,57236,Annual,"100 Church St., N.Y."
DEPARTMENT OF FINANCE,Compliance Officer,PROCUREMENT ANALYST,"Finance, Accounting, & Procurement",F,38534,50000,Annual,"1 Centre St., N.Y."
DEPT OF INFO TECH & TELECOMM,Incident Commander,COMPUTER OPERATIONS MANAGER (S,"Technology, Data & Innovation",,67060,160000,Annual,255 Greenwich Street
DEPT OF INFO TECH & TELECOMM,Incident Commander,COMPUTER OPERATIONS MANAGER (S,"Technology, Data & Innovation",,67060,160000,Annual,255 Greenwich Street
DEPARTMENT OF INVESTIGATION,Deputy Agency Chief Contracting Officer,PROCUREMENT ANALYST,"Finance, Accounting, & Procurement",F,56981,87400,Annual,80 Maiden Lane
DEPT OF DESIGN & CONSTRUCTION,Project Manager,PROJECT MANAGER,"Engineering, Architecture, & Planning",,55416,83151,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Project Manager,PROJECT MANAGER,"Engineering, Architecture, & Planning",,55416,83151,Annual,30-30 Thomson Ave L I City Qns
DEPT OF INFO TECH & TELECOMM,Senior Database Administrator,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",,89509,111404,Annual,2 Metro Tech
FINANCIAL INFO SVCS AGENCY,COLLEGE AIDE,COLLEGE AIDE - ASSIGNMENT LEVE,"Technology, Data & Innovation",P,15,20,Hourly,5 Manhattan West
FINANCIAL INFO SVCS AGENCY,COLLEGE AIDE,COLLEGE AIDE - ASSIGNMENT LEVE,"Technology, Data & Innovation",P,15,20,Hourly,5 Manhattan West
DEPARTMENT OF CORRECTION,Agency Attorney,AGENCY ATTORNEY,Legal Affairs,F,66326,99394,Annual,75-20 Astoria Blvd
DEPARTMENT OF CORRECTION,Agency Attorney,AGENCY ATTORNEY,Legal Affairs,F,66326,99394,Annual,75-20 Astoria Blvd
DEPT OF HEALTH/MENTAL HYGIENE,"Chinese Translator, Bureau of Communications",INTERPRETER (CHINESE),Health,F,45215,72572,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Chinese Translator, Bureau of Communications",INTERPRETER (CHINESE),Health,F,45215,72572,Annual,42-09 28th Street
LAW DEPARTMENT,Major Case Unit and Designated Felony Assistant Corporation Counsels,ASSISTANT CORPORATION COUNSEL,Legal Affairs,P,79079,114437,Annual,"100 Church St., N.Y."
LAW DEPARTMENT,Major Case Unit and Designated Felony Assistant Corporation Counsels,ASSISTANT CORPORATION COUNSEL,Legal Affairs,P,79079,114437,Annual,"100 Church St., N.Y."
DEPARTMENT OF INVESTIGATION,Confidential Investigator,CONFIDENTIAL INVESTIGATOR,"Public Safety, Inspections, & Enforcement",F,41996,50000,Annual,"83 Maiden Lane, New York Ny"
DEPARTMENT OF INVESTIGATION,Confidential Investigator,CONFIDENTIAL INVESTIGATOR,"Public Safety, Inspections, & Enforcement",F,41996,50000,Annual,"83 Maiden Lane, New York Ny"
HRA/DEPT OF SOCIAL SERVICES,Eligibility Worker,ELIGIBILITY SPECIALIST,Social Services,F,38895,44729,Annual,"1790 Grand Concourse, Bronx"
DEPARTMENT OF SANITATION,Senior Net Developer,CERT IT DEVELOPER (APP),"Technology, Data & Innovation",F,96020,144929,Annual,"137 Centre St., N.Y."
DEPARTMENT OF SANITATION,Senior Net Developer,CERT IT DEVELOPER (APP),"Technology, Data & Innovation",F,96020,144929,Annual,"137 Centre St., N.Y."
DEPT OF ENVIRONMENT PROTECTION,Performance Analyst,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,87490,118610,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Performance Analyst,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,87490,118610,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Information Technology Manager,CERT IT DEVELOPER (APP),"Technology, Data & Innovation",F,85000,95000,Annual,100 Gold Street
DEPT OF ENVIRONMENT PROTECTION,Information Technology Manager,CERT IT DEVELOPER (APP),"Technology, Data & Innovation",F,85000,95000,Annual,100 Gold Street
LAW DEPARTMENT,Paralegal - Queens,PARALEGAL AIDE,Legal Affairs,F,41939,58688,Annual,"162-24 Jamaica Ave, Jamaica Ny"
LAW DEPARTMENT,Paralegal - Queens,PARALEGAL AIDE,Legal Affairs,F,41939,58688,Annual,"162-24 Jamaica Ave, Jamaica Ny"
NYC HOUSING AUTHORITY,Agency Attorney Level III,AGENCY ATTORNEY,Legal Affairs,F,73938,90153,Annual,Law Dept - Corporate Affairs
NYC HOUSING AUTHORITY,Agency Attorney Level III,AGENCY ATTORNEY,Legal Affairs,F,73938,90153,Annual,Law Dept - Corporate Affairs
POLICE DEPARTMENT,Psychologist - Part Time,PSYCHOLOGIST,Health,P,62458,81131,Annual,"1 Lefrak City, Queens"
POLICE DEPARTMENT,Psychologist - Part Time,PSYCHOLOGIST,Health,P,62458,81131,Annual,"1 Lefrak City, Queens"
DEPT OF HEALTH/MENTAL HYGIENE,Procurement Analyst,PROCUREMENT ANALYST,"Finance, Accounting, & Procurement",F,39304,65360,Annual,421 East 26th Street NY NY
TAXI & LIMOUSINE COMMISSION,Project Manager - Business Analyst,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,85000,98000,Annual,"33 Beaver St, New York Ny"
TAXI & LIMOUSINE COMMISSION,Project Manager - Business Analyst,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,85000,98000,Annual,"33 Beaver St, New York Ny"
DEPT OF HEALTH/MENTAL HYGIENE,Contracts Officer,PROCUREMENT ANALYST,"Finance, Accounting, & Procurement",F,56981,93904,Annual,421 East 26th Street NY NY
TAXI & LIMOUSINE COMMISSION,Quality Analyst Lead - Digital Solutions,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,85000,98000,Annual,"33 Beaver St, New York Ny"
TAXI & LIMOUSINE COMMISSION,Quality Analyst Lead - Digital Solutions,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,85000,98000,Annual,"33 Beaver St, New York Ny"
DEPT OF ENVIRONMENT PROTECTION,"Accountable Manager, Water Supply & Distribution Intergrated Planning",ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,78879,115000,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,"Accountable Manager, Water Supply & Distribution Intergrated Planning",ADMINISTRATIVE PROJECT MANAGER,"Engineering, Architecture, & Planning Technology, Data & Innovation",F,78879,115000,Annual,59-17 Junction Blvd Corona Ny
DEPARTMENT OF BUSINESS SERV.,"FIELD AUDITOR, CERTIFICATION UNIT",CONTRACT REVIEWER (OFFICE OF L,Constituent Services & Community Programs,F,46818,55000,Annual,110 William St. N Y
DEPARTMENT OF BUSINESS SERV.,"FIELD AUDITOR, CERTIFICATION UNIT",CONTRACT REVIEWER (OFFICE OF L,Constituent Services & Community Programs,F,46818,55000,Annual,110 William St. N Y
HRA/DEPT OF SOCIAL SERVICES,MAILROOM SORTING CLERK,CLERICAL ASSOCIATE,Communications & Intergovernmental Affairs Social Services,F,35330,40629,Annual,4 World Trade Center
ADMIN FOR CHILDREN'S SVCS,Executive Director of Office of Shared Response,ADMINISTRATIVE DIRECTOR OF SOC,Social Services,F,67060,150000,Annual,"150 William Street, New York N"
FINANCIAL INFO SVCS AGENCY,MS EXCHANGE/WINDOWS ADMINISTRATOR,IT SERVICE MANAGEMENT SPECIALI,"Technology, Data & Innovation",F,75000,120000,Annual,5 Manhattan West
FINANCIAL INFO SVCS AGENCY,MS EXCHANGE/WINDOWS ADMINISTRATOR,IT SERVICE MANAGEMENT SPECIALI,"Technology, Data & Innovation",F,75000,120000,Annual,5 Manhattan West
DEPT OF ENVIRONMENT PROTECTION,Assistant Mechanical Engineer,ASSISTANT MECHANICAL ENGINEER,"Engineering, Architecture, & Planning",F,55416,63728,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Assistant Mechanical Engineer,ASSISTANT MECHANICAL ENGINEER,"Engineering, Architecture, & Planning",F,55416,63728,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Assistant Civil Engineer,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",,55416,63728,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Assistant Civil Engineer,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",,55416,63728,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Assistant Environmental Engineer,ASSISTANT ENVIRONMENTAL ENGINE,"Engineering, Architecture, & Planning",F,55416,63728,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Assistant Environmental Engineer,ASSISTANT ENVIRONMENTAL ENGINE,"Engineering, Architecture, & Planning",F,55416,63728,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Deputy Chief of Payments and Procurement,ADMINISTRATIVE STAFF ANALYST (,"Finance, Accounting, & Procurement",F,62862,80000,Annual,96-05 Horace Harding Expway
CONSUMER AFFAIRS,Labor Standards Investigator,INSPECTOR (CONSUMER AFFAIRS),"Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement Social Services",F,41269,53000,Annual,"42 Broadway, N.Y."
CONSUMER AFFAIRS,Labor Standards Investigator,INSPECTOR (CONSUMER AFFAIRS),"Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement Social Services",F,41269,53000,Annual,"42 Broadway, N.Y."
NYC HOUSING AUTHORITY,Project Manager,ADMINISTRATIVE CONSTRUCTION PR,"Engineering, Architecture, & Planning",F,60435,161497,Annual,Office for Exec Proj Manager
NYC HOUSING AUTHORITY,Project Manager,ADMINISTRATIVE CONSTRUCTION PR,"Engineering, Architecture, & Planning",F,60435,161497,Annual,Office for Exec Proj Manager
DEPT OF INFO TECH & TELECOMM,Senior Cloud Engineer,SENIOR IT ARCHITECT,"Technology, Data & Innovation",,100000,120000,Annual,2 Metro Tech
DEPT OF INFO TECH & TELECOMM,Senior Cloud Engineer,SENIOR IT ARCHITECT,"Technology, Data & Innovation",,100000,120000,Annual,2 Metro Tech
DEPT OF HEALTH/MENTAL HYGIENE,"Supervising Public Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",PUBLIC HEALTH NURSE,Health,F,81798,81798,Annual,30-48 Linden Place
DEPT OF HEALTH/MENTAL HYGIENE,"Supervising Public Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",PUBLIC HEALTH NURSE,Health,F,81798,81798,Annual,30-48 Linden Place
DEPT OF HEALTH/MENTAL HYGIENE,"Supervising Public Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",PUBLIC HEALTH NURSE,Health,F,76737,76737,Annual,30-48 Linden Place
